Trial  | True     | Pred     | Conf   | Result
#98    | Left     | Left     | 0.99   | ✅
#99    | Tongue   | Tongue   | 1.00   | ✅
#100   | Right    | Right    | 0.96   | ✅
#101   | Left     | Left     | 0.86   | ✅
#102   | Foot     | Foot     | 1.00   | ✅
#103   | Left     | Left     | 0.85   | ✅
#104   | Foot     | Foot     | 0.90   | ✅
#105   | Right    | Right    | 0.77   | ✅
#106   | Tongue   | Tongue   | 1.00   | ✅
#107   | Left     | Left     | 0.99   | ✅
#108   | Foot     | Foot     | 1.00   | ✅
#109   | Foot     | Foot     | 0.80   | ✅
#110   | Left     | Left     | 0.99   | ✅
#111   | Foot     | Foot     | 1.00   | ✅
#112   | Right    | Right    | 0.98   | ✅
#113   | Tongue   | Tongue   | 1.00   | ✅
#114   | Tongue   | Foot     | 0.98   | ❌
#115   | Tongue   | Tongue   | 0.80   | ✅
#116   | Foot     | Foot     | 0.99   | ✅
#117   | Left     | Left     | 0.80   | ✅
#118   | Tongue   | Tongue   | 1.00   | ✅
#119   | Right    | Right    | 0.79   | ✅
#120   | Tongue   | Tongue   | 1.00   | ✅
#121   | Right    | Right    | 1.00   | ✅
#122   | Left     | Left     | 0.89   | ✅
#123   | Foot     | Foot     | 0.85   | ✅
#124   | Right    | Right    | 0.97   | ✅
#125   | Left     | Foot     | 0.63   | ❌
#126   | Foot     | Foot     | 1.00   | ✅
#127   | Foot     | Foot     | 0.90   | ✅
#128   | Left     | Left     | 1.00   | ✅
#129   | Foot     | Foot     | 0.99   | ✅
#130   | Tongue   | Tongue   | 1.00   | ✅
#131   | Tongue   | Tongue   | 1.00   | ✅
#132   | Right    | Right    | 0.99   | ✅
#133   | Left     | Left     | 0.98   | ✅
#134   | Right    | Tongue   | 0.95   | ❌
#135   | Tongue   | Tongue   | 0.76   | ✅
#136   | Right    | Right    | 1.00   | ✅
#137   | Tongue   | Tongue   | 1.00   | ✅
#138   | Foot     | Foot     | 1.00   | ✅
#139   | Right    | Right    | 0.99   | ✅
#140   | Right    | Left     | 0.81   | ❌
#141   | Right    | Right    | 0.83   | ✅
#142   | Foot     | Foot     | 0.99   | ✅
#143   | Tongue   | Tongue   | 0.77   | ✅
#144   | Left     | Tongue   | 0.69   | ❌
#145   | Right    | Right    | 0.93   | ✅
#146   | Tongue   | Tongue   | 1.00   | ✅
#147   | Left     | Right    | 0.81   | ❌
#148   | Foot     | Foot     | 1.00   | ✅
#149   | Foot     | Foot     | 0.98   | ✅
#150   | Tongue   | Tongue   | 0.99   | ✅
#151   | Left     | Left     | 1.00   | ✅
#152   | Left     | Left     | 0.99   | ✅
#153   | Foot     | Foot     | 0.99   | ✅
#154   | Right    | Right    | 1.00   | ✅
#155   | Tongue   | Tongue   | 0.98   | ✅
#156   | Tongue   | Tongue   | 1.00   | ✅
#157   | Tongue   | Foot     | 0.94   | ❌
#158   | Right    | Right    | 0.69   | ✅
#159   | Left     | Left     | 0.60   | ✅
#160   | Foot     | Foot     | 0.93   | ✅
#161   | Right    | Right    | 0.96   | ✅
#162   | Tongue   | Tongue   | 1.00   | ✅
#163   | Left     | Right    | 0.86   | ❌
#164   | Tongue   | Tongue   | 1.00   | ✅
#165   | Foot     | Foot     | 1.00   | ✅
#166   | Right    | Right    | 0.99   | ✅
#167   | Tongue   | Tongue   | 0.99   | ✅
#168   | Tongue   | Tongue   | 1.00   | ✅
#169   | Left     | Left     | 1.00   | ✅
#170   | Right    | Right    | 0.96   | ✅
#171   | Right    | Right    | 1.00   | ✅
#172   | Foot     | Foot     | 0.97   | ✅
#173   | Tongue   | Tongue   | 1.00   | ✅
#174   | Right    | Left     | 0.99   | ❌
#175   | Left     | Left     | 0.88   | ✅
#176   | Left     | Left     | 0.50   | ✅
#177   | Tongue   | Left     | 0.95   | ❌
#178   | Right    | Left     | 0.52   | ❌
#179   | Left     | Left     | 0.96   | ✅
#180   | Foot     | Foot     | 0.86   | ✅
#181   | Right    | Right    | 0.86   | ✅
#182   | Right    | Right    | 0.90   | ✅
#183   | Foot     | Left     | 0.99   | ❌
#184   | Left     | Left     | 0.99   | ✅
#185   | Tongue   | Tongue   | 0.96   | ✅
#186   | Foot     | Foot     | 0.93   | ✅
#187   | Foot     | Foot     | 0.79   | ✅
#188   | Foot     | Left     | 0.63   | ❌
#189   | Foot     | Foot     | 0.87   | ✅
#190   | Left     | Left     | 0.71   | ✅
#191   | Right    | Right    | 0.98   | ✅
#192   | Left     | Left     | 0.69   | ✅
#193   | Right    | Right    | 0.70   | ✅
#194   | Left     | Left     | 0.87   | ✅
#195   | Left     | Right    | 0.74   | ❌
#196   | Foot     | Foot     | 0.99   | ✅
#197   | Foot     | Foot     | 0.95   | ✅
#198   | Right    | Right    | 0.91   | ✅
#199   | Foot     | Foot     | 0.86   | ✅
#200   | Tongue   | Tongue   | 0.99   | ✅
#201   | Left     | Left     | 0.74   | ✅
#202   | Tongue   | Tongue   | 0.98   | ✅
#203   | Left     | Left     | 1.00   | ✅
#204   | Left     | Left     | 1.00   | ✅
#205   | Right    | Right    | 0.98   | ✅
#206   | Tongue   | Tongue   | 0.99   | ✅
#207   | Foot     | Foot     | 0.99   | ✅
#208   | Right    | Right    | 0.99   | ✅
#209   | Tongue   | Tongue   | 0.66   | ✅
#210   | Foot     | Foot     | 0.91   | ✅
#211   | Tongue   | Tongue   | 1.00   | ✅
#212   | Foot     | Foot     | 0.61   | ✅
#213   | Tongue   | Tongue   | 1.00   | ✅
#214   | Right    | Right    | 0.99   | ✅
#215   | Right    | Right    | 0.99   | ✅
#216   | Tongue   | Foot     | 0.50   | ❌
#217   | Left     | Right    | 0.97   | ❌
#218   | Right    | Left     | 0.97   | ❌
#219   | Right    | Right    | 0.96   | ✅
#220   | Right    | Right    | 1.00   | ✅
#221   | Foot     | Left     | 0.96   | ❌
#222   | Tongue   | Tongue   | 1.00   | ✅
#223   | Left     | Left     | 0.67   | ✅
#224   | Tongue   | Tongue   | 0.99   | ✅
#225   | Left     | Right    | 0.83   | ❌
#226   | Foot     | Foot     | 0.95   | ✅
#227   | Left     | Right    | 0.99   | ❌
#228   | Tongue   | Tongue   | 0.88   | ✅
#229   | Left     | Right    | 0.49   | ❌
#230   | Foot     | Foot     | 1.00   | ✅
#231   | Left     | Foot     | 0.63   | ❌
#232   | Right    | Tongue   | 0.76   | ❌
#233   | Foot     | Foot     | 1.00   | ✅
#234   | Foot     | Foot     | 0.99   | ✅
#235   | Tongue   | Tongue   | 0.98   | ✅
#236   | Left     | Left     | 1.00   | ✅
#237   | Right    | Right    | 1.00   | ✅
#238   | Tongue   | Tongue   | 0.81   | ✅
#239   | Right    | Foot     | 0.45   | ❌
#240   | Foot     | Foot     | 0.84   | ✅
#241   | Foot     | Foot     | 0.52   | ✅
#242   | Left     | Left     | 0.58   | ✅
#243   | Tongue   | Foot     | 0.90   | ❌
#244   | Right    | Right    | 1.00   | ✅
#245   | Tongue   | Tongue   | 1.00   | ✅
#246   | Left     | Right    | 0.81   | ❌
#247   | Left     | Tongue   | 0.80   | ❌
#248   | Foot     | Foot     | 0.98   | ✅
#249   | Foot     | Foot     | 0.80   | ✅
#250   | Right    | Right    | 0.85   | ✅
#251   | Tongue   | Tongue   | 1.00   | ✅
#252   | Right    | Left     | 0.63   | ❌
#253   | Right    | Right    | 0.98   | ✅
#254   | Left     | Left     | 0.47   | ✅
#255   | Right    | Right    | 0.97   | ✅
#256   | Tongue   | Tongue   | 0.99   | ✅
#257   | Tongue   | Tongue   | 0.99   | ✅
#258   | Right    | Right    | 0.69   | ✅
#259   | Right    | Right    | 0.99   | ✅
#260   | Right    | Right    | 0.90   | ✅
#261   | Right    | Right    | 0.66   | ✅
#262   | Tongue   | Tongue   | 1.00   | ✅
#263   | Tongue   | Tongue   | 1.00   | ✅
#264   | Foot     | Foot     | 0.99   | ✅
#265   | Tongue   | Foot     | 0.94   | ❌
#266   | Left     | Left     | 0.98   | ✅
#267   | Right    | Right    | 0.71   | ✅
#268   | Foot     | Foot     | 1.00   | ✅
#269   | Right    | Right    | 0.68   | ✅
#270   | Left     | Right    | 0.97   | ❌
#271   | Tongue   | Tongue   | 0.92   | ✅
#272   | Left     | Left     | 0.88   | ✅
#273   | Tongue   | Left     | 0.96   | ❌
#274   | Left     | Right    | 0.58   | ❌
#275   | Left     | Left     | 0.64   | ✅
#276   | Left     | Left     | 0.99   | ✅
#277   | Left     | Left     | 0.99   | ✅
#278   | Foot     | Foot     | 1.00   | ✅
#279   | Foot     | Tongue   | 0.96   | ❌
#280   | Tongue   | Tongue   | 1.00   | ✅
#281   | Right    | Right    | 1.00   | ✅
#282   | Foot     | Foot     | 0.97   | ✅
#283   | Foot     | Foot     | 1.00   | ✅
#284   | Foot     | Foot     | 0.99   | ✅
#285   | Tongue   | Foot     | 0.95   | ❌
#286   | Foot     | Left     | 0.85   | ❌
#287   | Left     | Left     | 0.95   | ✅
#288   | Foot     | Foot     | 1.00   | ✅
