Trial  | True     | Pred     | Conf   | Result
#155   | Tongue   | Tongue   | 1.00   | ✅
#156   | Tongue   | Tongue   | 1.00   | ✅
#157   | Tongue   | Tongue   | 0.51   | ✅
#158   | Right    | Right    | 1.00   | ✅
#159   | Left     | Tongue   | 0.84   | ❌
#160   | Foot     | Tongue   | 0.78   | ❌
#161   | Right    | Tongue   | 0.97   | ❌
#162   | Tongue   | Tongue   | 1.00   | ✅
#163   | Left     | Foot     | 0.72   | ❌
#164   | Tongue   | Right    | 0.47   | ❌
#165   | Foot     | Tongue   | 0.52   | ❌
#166   | Right    | Right    | 0.99   | ✅
#167   | Tongue   | Tongue   | 0.98   | ✅
#168   | Tongue   | Tongue   | 1.00   | ✅
#169   | Left     | Left     | 0.94   | ✅
#170   | Right    | Right    | 0.58   | ✅
#171   | Right    | Tongue   | 0.53   | ❌
#172   | Foot     | Foot     | 0.99   | ✅
#173   | Tongue   | Tongue   | 1.00   | ✅
#174   | Right    | Right    | 1.00   | ✅
#175   | Left     | Right    | 0.88   | ❌
#176   | Left     | Left     | 0.51   | ✅
#177   | Tongue   | Tongue   | 0.62   | ✅
#178   | Right    | Right    | 0.82   | ✅
#179   | Left     | Left     | 0.73   | ✅
#180   | Foot     | Tongue   | 0.74   | ❌
#181   | Right    | Tongue   | 0.87   | ❌
#182   | Right    | Right    | 0.99   | ✅
#183   | Foot     | Foot     | 0.89   | ✅
#184   | Left     | Right    | 0.77   | ❌
#185   | Tongue   | Left     | 0.53   | ❌
#186   | Foot     | Tongue   | 0.99   | ❌
#187   | Foot     | Left     | 0.61   | ❌
#188   | Foot     | Tongue   | 0.79   | ❌
#189   | Foot     | Foot     | 0.61   | ✅
#190   | Left     | Left     | 1.00   | ✅
#191   | Right    | Right    | 1.00   | ✅
#192   | Left     | Left     | 0.99   | ✅
#193   | Right    | Right    | 0.97   | ✅
#194   | Left     | Left     | 1.00   | ✅
#195   | Left     | Left     | 0.93   | ✅
#196   | Foot     | Foot     | 0.99   | ✅
#197   | Foot     | Foot     | 0.97   | ✅
#198   | Right    | Right    | 1.00   | ✅
#199   | Foot     | Foot     | 0.99   | ✅
#200   | Tongue   | Tongue   | 1.00   | ✅
#201   | Left     | Left     | 0.99   | ✅
#202   | Tongue   | Tongue   | 0.99   | ✅
#203   | Left     | Foot     | 0.74   | ❌
#204   | Left     | Right    | 0.73   | ❌
#205   | Right    | Tongue   | 0.89   | ❌
#206   | Tongue   | Tongue   | 0.85   | ✅
#207   | Foot     | Tongue   | 0.41   | ❌
#208   | Right    | Right    | 0.37   | ✅
#209   | Tongue   | Tongue   | 0.97   | ✅
#210   | Foot     | Foot     | 0.99   | ✅
#211   | Tongue   | Left     | 0.92   | ❌
#212   | Foot     | Left     | 0.64   | ❌
#213   | Tongue   | Tongue   | 0.98   | ✅
#214   | Right    | Right    | 0.89   | ✅
#215   | Right    | Right    | 0.99   | ✅
#216   | Tongue   | Tongue   | 0.99   | ✅
#217   | Left     | Tongue   | 0.93   | ❌
#218   | Right    | Left     | 0.67   | ❌
#219   | Right    | Right    | 0.84   | ✅
#220   | Right    | Right    | 0.94   | ✅
#221   | Foot     | Left     | 0.54   | ❌
#222   | Tongue   | Tongue   | 0.96   | ✅
#223   | Left     | Left     | 0.87   | ✅
#224   | Tongue   | Left     | 1.00   | ❌
#225   | Left     | Left     | 0.92   | ✅
#226   | Foot     | Tongue   | 0.99   | ❌
#227   | Left     | Left     | 0.99   | ✅
#228   | Tongue   | Left     | 0.60   | ❌
#229   | Left     | Left     | 0.98   | ✅
#230   | Foot     | Foot     | 0.93   | ✅
#231   | Left     | Foot     | 0.74   | ❌
#232   | Right    | Left     | 0.93   | ❌
#233   | Foot     | Foot     | 0.99   | ✅
#234   | Foot     | Left     | 0.91   | ❌
#235   | Tongue   | Left     | 0.68   | ❌
#236   | Left     | Left     | 0.94   | ✅
#237   | Right    | Right    | 0.93   | ✅
#238   | Tongue   | Left     | 0.96   | ❌
#239   | Right    | Right    | 0.87   | ✅
#240   | Foot     | Right    | 0.72   | ❌
#241   | Foot     | Left     | 0.72   | ❌
#242   | Left     | Left     | 0.75   | ✅
#243   | Tongue   | Tongue   | 1.00   | ✅
#244   | Right    | Tongue   | 0.93   | ❌
#245   | Tongue   | Tongue   | 0.98   | ✅
#246   | Left     | Foot     | 0.55   | ❌
#247   | Left     | Tongue   | 0.91   | ❌
#248   | Foot     | Left     | 0.60   | ❌
#249   | Foot     | Tongue   | 0.42   | ❌
#250   | Right    | Right    | 0.88   | ✅
#251   | Tongue   | Tongue   | 0.99   | ✅
#252   | Right    | Tongue   | 0.56   | ❌
#253   | Right    | Right    | 0.75   | ✅
#254   | Left     | Left     | 0.99   | ✅
#255   | Right    | Right    | 0.99   | ✅
#256   | Tongue   | Tongue   | 0.96   | ✅
#257   | Tongue   | Tongue   | 1.00   | ✅
#258   | Right    | Right    | 0.99   | ✅
#259   | Right    | Right    | 0.99   | ✅
#260   | Right    | Right    | 0.74   | ✅
#261   | Right    | Right    | 0.99   | ✅
#262   | Tongue   | Tongue   | 1.00   | ✅
#263   | Tongue   | Tongue   | 0.99   | ✅
#264   | Foot     | Foot     | 0.98   | ✅
#265   | Tongue   | Tongue   | 1.00   | ✅
#266   | Left     | Left     | 0.95   | ✅
#267   | Right    | Left     | 0.98   | ❌
#268   | Foot     | Left     | 0.54   | ❌
#269   | Right    | Right    | 1.00   | ✅
#270   | Left     | Foot     | 0.86   | ❌
#271   | Tongue   | Tongue   | 0.98   | ✅
#272   | Left     | Left     | 0.99   | ✅
#273   | Tongue   | Tongue   | 0.99   | ✅
#274   | Left     | Left     | 0.97   | ✅
#275   | Left     | Tongue   | 0.65   | ❌
#276   | Left     | Tongue   | 0.55   | ❌
#277   | Left     | Left     | 0.78   | ✅
#278   | Foot     | Tongue   | 0.75   | ❌
#279   | Foot     | Left     | 0.98   | ❌
#280   | Tongue   | Tongue   | 1.00   | ✅
#281   | Right    | Right    | 0.91   | ✅
#282   | Foot     | Foot     | 0.47   | ✅
#283   | Foot     | Foot     | 0.95   | ✅
#284   | Foot     | Tongue   | 0.85   | ❌
#285   | Tongue   | Tongue   | 0.98   | ✅
#286   | Foot     | Left     | 0.73   | ❌
#287   | Left     | Foot     | 0.99   | ❌
#288   | Foot     | Left     | 0.96   | ❌
